diet_type,cost
current,70.56453270829584
current,13.904318381190935
current,15.946442569189704
current,67.68355969559038
current,69.72568388358914
current,16.97144536380737
current,19.013569551806135
current,70.7506866782068
current,72.79281086620557
current,14.95290725250162
current,16.995031440500387
current,68.73214856690105
current,70.77427275489981
current,14.11405842779491
current,16.15618261579368
current,67.89329974219434
current,69.93542393019311
current,17.181185410411345
current,19.22330959841011
current,70.96042672481077
current,73.00255091280954
current,8.366723996532604
current,10.408848184531374
current,62.14596531093204
current,64.18808949893081
current,7.527875171825897
current,9.569999359824667
current,61.30711648622533
current,63.3492406742241
current,10.595002154442328
current,12.637126342441098
current,64.37424346884175
current,66.41636765684054
current,9.166722004266202
current,11.208846192264971
current,62.94596331866563
current,64.9880875066644
current,8.327873179559495
current,10.369997367558264
current,62.10711449395893
current,64.1492386819577
current,11.395000162175927
current,13.437124350174697
current,65.17424147657536
current,67.21636566457413
current,9.5710630868604
current,11.61318727485917
current,63.350304401259834
current,65.3924285892586
current,8.732214262153693
current,10.774338450152463
current,62.511455576553125
current,64.5535797645519
current,11.799341244770124
current,13.841465432768894
current,65.57858255916956
current,67.62070674716833
current,10.47852417931819
current,12.52064836731696
current,64.25776549371763
current,66.2998896817164
current,9.639675354611482
current,11.681799542610252
current,63.41891666901092
current,65.46104085700969
current,12.706802337227915
current,14.748926525226684
current,66.48604365162736
current,68.52816783962612
current,10.571779390497737
current,12.613903578496506
current,64.35102070489717
current,66.39314489289595
current,9.73293056579103
current,11.7750547537898
current,63.512171880190465
current,65.55429606818923
current,12.80005754840746
current,14.84218173640623
current,66.5792988628069
current,68.62142305080566
current,10.421140923581737
current,12.463265111580506
current,64.20038223798117
current,66.24250642597994
current,9.58229209887503
current,11.6244162868738
current,63.361533413274465
current,65.40365760127324
current,12.64941908149146
current,14.69154326949023
current,66.4286603958909
current,68.47078458388967
current,10.355706410983464
current,12.397830598982233
current,64.1349477253829
current,66.17707191338167
current,9.516857586276755
current,11.558981774275525
current,63.29609890067619
current,65.33822308867497
current,12.583984568893188
current,14.626108756891957
current,66.36322588329263
current,68.4053500712914
current,8.713299724636503
current,10.755423912635273
current,62.492541039035935
current,64.53466522703471
current,7.874450899929796
current,9.916575087928566
current,61.65369221432923
current,63.695816402328
current,10.941577882546229
current,12.983702070544998
current,64.72081919694567
